id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,
0,0.0102,833,204600,434,0.0219,2,165,-8795,1,431,150062,4.0,286,1,Mask Off,Future,
1,199,743,326933,359,0.00611,1,137,-10401,1,0.0794,160083,4.0,588,1,Redbone,Childish Gambino,
2,0.0344,838,185707,412,0.000234,2,159,-7148,1,289,75044,4.0,173,1,Xanny Family,Future,
3,604,494,199413,338,0.51,5,0.0922,-15236,1,0.0261,86468,4.0,0.23,1,Master Of None,Beach House,
4,0.18,678,392893,561,512,5,439,-11648,0,0.0694,174004,4.0,904,1,Parallel Lines,Junior Boys,
5,0.00479,804,251333,0.56,0.0,8,164,-6682,1,185,85023,4.0,264,1,Sneakin’,Drake,
6,0.0145,739,241400,472,7.27e-06,1,207,-11204,1,156,80.03,4.0,308,1,Childs Play,Drake,
7,0.0202,266,349667,348,664,10,0.16,-11609,0,0.0371,144154,4.0,393,1,Gyöngyhajú lány,Omega,
8,0.0481,603,202853,944,0.0,11,342,-3626,0,347,130035,4.0,398,1,I've Seen Footage,Death Grips,
9,0.00208,836,226840,603,0.0,7,571,-7792,1,237,99994,4.0,386,1,Digital Animal,Honey Claws,
10,0.0572,525,358187,855,0.0143,5,649,-7372,0,0.0548,111951,3.0,524,1,Subways - In Flagranti Extended Edit,The Avalanches,
11,0.0915,753,324880,748,0.00348,10,212,-8.62,1,0.0494,104322,4.0,642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,
12,253,603,356973,434,0.0619,0,108,-11062,1,0.0342,127681,4.0,381,1,Cemalim,Erkin Koray,
13,366,762,243270,476,0.0,0,103,-12686,1,114,130007,4.0,367,1,One Night,Lil Yachty,
14,0.44,662,247288,603,0.0,9,0.0972,-8317,0,0.0793,125011,4.0,351,1,Oh lala,PNL,
15,19,637,188333,832,0.0563,6,316,-6637,1,163,99988,4.0,317,1,Char,Crystal Castles,
16,0.0239,603,270827,955,0.0451,1,119,-4111,1,0.0458,123922,4.0,773,1,World In Motion,New Order,
17,233,789,447907,659,0.00049,4,184,-12654,0,0.0429,122415,4.0,842,1,One Nation Under a Groove,Funkadelic,
18,314,713,195429,611,0.0,1,117,-6702,0,241,140061,4.0,783,1,Bouncin,Chief Keef,
19,0.0242,735,214347,759,185,1,0.0966,-6914,0,0.0449,109982,4.0,763,1,C O O L - Radio Edit,Le Youth,
20,0.000702,854,249253,719,308,10,428,-9335,0,0.0655,128049,4.0,471,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,
21,0.00024,747,307680,0.74,369,1,0.0995,-4134,1,0.0323,130031,4.0,0.77,1,House of Jealous Lovers,The Rapture,
22,118,854,287086,401,0.0,9,527,-8553,1,395,139922,4.0,441,1,Imma Ride,Young Thug,
23,0.000596,224,132760,925,1.35e-06,11,0.0663,-1.71,0,0.0834,138022,4.0,364,1,Girlfriend,Ty Segall,
24,279,512,203400,564,1.54e-05,10,133,-5892,1,0.0316,94498,4.0,401,1,If I Gave You My Love,Myron & E,
25,0.00219,781,205160,795,269,7,0.0673,-6758,1,36,109977,4.0,795,1,This Ready Flesh,TR/ST,
26,341,411,199500,684,1.42e-06,11,198,-6889,0,383,110016,4.0,598,1,Lose My Mind,A-Trak,
27,18,646,188333,837,0.0403,6,316,-6615,1,134,100.04,4.0,0.32,1,Char,Crystal Castles,
28,0.0516,782,228562,572,0.0,4,0.33,-7467,0,0.0385,120021,4.0,237,1,Look Alive,Rae Sremmurd,
29,282,735,186096,0.4,125,1,0.0811,-12766,1,102,129004,4.0,326,1,Please Stop Making Fake Versace,Father,
30,0.00791,0.45,220934,449,0.0,2,173,-12037,1,156,135.45,4.0,137,1,Milly Rock,2milly,
31,0.0219,897,285240,642,1.31e-06,2,159,-8828,1,0.0534,127984,4.0,0.27,1,Blasé (feat. Future & Rae Sremmurd),Ty Dolla $ign,
32,0.0358,959,213000,598,0.0,8,358,-5534,1,0.0713,127029,4.0,424,1,Best Friend,Young Thug,
33,0.0324,742,280831,559,0.0,5,0.0987,-5876,1,141,146923,4.0,429,1,Hercules,Young Thug,
34,118,805,232880,687,0.0,9,0.0842,-7771,1,0.0458,119999,4.0,683,1,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold,
35,0.0428,667,230693,581,0.0,0,183,-5164,0,323,110953,4.0,372,1,Check,Young Thug,
36,297,722,175613,823,0.0,7,489,-3916,1,81,148.23,4.0,855,1,Poppin' My Collar,Three 6 Mafia,
37,0.0565,853,205879,547,0.0,1,341,-7535,1,194,142065,4.0,677,1,Jumpman,Drake,
38,0.0128,747,213507,705,0.0,9,126,-5137,0,126,136024,4.0,571,1,7/11,Beyoncé,
39,135,777,237187,591,5.5e-05,1,126,-7431,0,0.0327,124111,4.0,848,1,Somebody's Watching Me,Rockwell,
40,0.00041,731,324541,852,625,11,358,-6.08,1,0.0476,125008,4.0,622,1,Bang That,Disclosure,
41,0.00356,0.76,186122,402,0.0,8,333,-8751,1,164,147028,4.0,69,1,I Don't Sell Molly No More,ILoveMakonnen,
42,0.00156,624,183000,792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,4.0,318,1,Versace Python,Riff Raff,
43,0.00243,621,378893,683,0.00856,11,525,-5619,0,242,124283,5.0,0.0891,1,Monster,Kanye West,
44,533,0.64,234526,819,0.0,7,156,-4108,1,455,166012,4.0,624,1,OOOUUU,Young M.A.,
45,0.00631,715,213093,833,0.0,2,164,-5379,1,108,95487,4.0,607,1,Return Of The Mack - C & J Street Mix,Mark Morrison,
46,0.00182,0.7,386160,756,711,2,0.0575,-10714,1,0.0575,114.28,4.0,947,1,Fantastic Man,William Onyeabor,
47,0.0923,789,175240,494,0.000408,1,144,-13702,1,0.0456,104593,4.0,832,1,Right Place Wrong Time,Dr. John,
48,375,796,252547,0.86,0.00457,5,0.0745,-6202,0,0.0653,129008,3.0,973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,
49,183,716,576888,957,58,3,182,-4814,1,0.0689,106714,4.0,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor,
50,0.0185,0.74,241341,846,0.0624,2,254,-6039,1,0.0808,95995,4.0,852,1,Annie,Neon Indian,
51,0.0638,0.7,224480,0.84,112,7,141,-6227,0,0.0292,132475,4.0,745,1,The Chase,Future Islands,
52,456,514,215613,453,0.000181,6,178,-7062,1,0.0267,75548,4.0,532,1,Coming Home,Leon Bridges,
53,128,313,286960,0.77,0.0787,7,0.0873,-7265,1,0.0335,74749,4.0,186,1,Wishes,Beach House,
54,246,676,254769,528,0.0,7,0.0803,-8699,1,0.0366,130073,4.0,301,1,White Iverson,Post Malone,
55,0.12,532,213622,596,0.0,11,504,-9912,0,187,119296,5.0,486,1,I Know There's Gonna Be (Good Times),Jamie xx,
56,0.00426,646,283067,629,277,8,122,-10775,0,0.0427,109013,4.0,176,1,Loud Places,Jamie xx,
57,193,598,238307,252,138,2,0.0992,-15086,1,0.0647,120.06,4.0,0.0359,1,L$D,A$AP Rocky,
58,0.0174,754,113373,442,9.4e-05,5,0.0622,-8873,0,127,148.04,4.0,599,1,Dopeman,Vince Staples,
59,0.000392,294,311360,786,865,2,272,-3626,1,0.0378,81108,4.0,136,1,California Nights,Best Coast,
60,435,622,287427,253,471,2,0.0941,-14.36,1,0.0331,92584,4.0,328,1,Baby,Ariel Pink's Haunted Graffiti,
61,257,559,225347,656,0.000171,9,0.2,-8699,0,0.0469,79638,4.0,671,1,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",
62,0.000145,0.54,293646,945,753,9,667,-6.64,1,0.0406,92995,4.0,0.87,1,Fail to Cry,Yacht Club,
63,273,793,232251,0.7,0.0,0,174,-6641,0,0.0572,140058,4.0,887,1,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man,
64,374,549,223720,715,3.5e-06,1,0.17,-11164,1,0.0633,82118,4.0,785,1,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi,
