song_title;artist
Will You Love Me Tomorrow;The Shirelles
Then He Kissed Me;The Crystals
Danger and Dread;Brown Bird
Demon;Shamir
River;Leon Bridges
Billie Holiday;Warpaint
Bang! Bang!;Joe Cuba
You're the Best;Wet
Bam Bam;Sister Nancy
The Way You’d Love Her;Mac Demarco
Gooey;Glass Animals
Childs Play (feat. Chance the Rapper);SZA
Hunger Of The Pine;alt-J
Baby;Donnie & Joe Emerson
Calgary;Bon Iver
The Daily Mail;Radiohead
The Daily Mail;Radiohead
Look At Where We Are;Hot Chip
36 Chamber Flow;Flatbush Zombies
Hannah Hunt;Vampire Weekend
Open;Rhye
Stay;Rihanna
Outlines;AlunaGeorge
You'll Never Walk Alone - 2002 Remastered Version;Gerry & The Pacemakers
Running Up That Hill (A Deal With God);Kate Bush
Fool;Perfume Genius
The Boss;James Brown
Way to be Loved;TOPS
Tupelo (Pt. 1) - Single Version;Albert King
Somebody Was Watching;Pops Staples
Tupelo - Part 1;Pop Staples
Mannish Boy;Muddy Waters
Black Boy;Pops Staples
Three Cool Cats;The Coasters
Oogum Boogum Song;Brenton Wood
I'm Glad;Captain Beefheart & His Magic Band
I'm Walkin' - 2002 Digital Remaster;Fats Domino
Just Say The Word;Jerry Townes
I'm Going Down;Rose Royce
Raindrops;The Silvertones
Just A Little Lovin';Dusty Springfield
Unchained Melody;The Righteous Brothers
Angels;The xx
Weary;Solange
My Old Man;Zac Brown Band
Speak to a Girl;Tim McGraw
Zac Brown Band - Hot Country;Various Artists
Just a Phase;Adam Craig
Tin Man;Miranda Lambert
Either Way;Chris Stapleton
Tú Sí Sabes Quererme;Natalia Lafourcade
The Night We Met;Lord Huron
Nowhere;Sarah Reeves
Hills and Valleys (The Valleys Version);Tauren Wells
Clean;Natalie Grant
In Awe;Hollyn
Oh My Soul;Casting Crowns
O God Forgive Us;for KING & COUNTRY
On My Side;Kim Walker-Smith
Prove Me Wrong;Mandisa
Tears;Matt Hammitt
이대로 있어줘요 Stay With Me;도시총각 Dosichonggak
Wonder;Standing Egg
With Me;Vanilla Acoustic
For Me;Gyepy
Fallen in Love (Only With You);Jang Beom June
Ki-dult;SBGB
지금 여기, 이곳에서 (Duet With 루시아) , 지금 여기, 이곳에서;Sentimental Scenery
I Don't Love You;Urban Zakapa
Zig Zag;Kwon Jin Ah
장가갈 수 있을까 Can I Get Married?;Coffeeboy
Reason Why We Have To Break Up;Only U
I Don't Want;Jungkey
물 Water;권나무 Kwon Tree
Summer Night You and I;Standing Egg
Let You Go;Mot
Petals on The Wind (Remake Version);Wable
Morning Call - Remix Version;Ibadi
Rub off;Kim Woo-Joo
Waves - Acoustic;Dean Lewis
I'll Wait And Pray;John Coltrane
The Shadow of Your Smile;Scott Hamilton
Goodbye Pork Pie Hat;Charles Mingus
Journey Into Melody - 2007 Digital Remaster;Stanley Turrentine
Blue Ballad;Phil Woods
Blue in Green;Miles Davis
The Nearness Of You;Bill Charlap
Autumn Nocturne;Lou Donaldson
All The Way;Bob Berg
Isadora;Christian Scott
Dreamsville;David Halliday
A Nightingale Sang In Berkeley Square;Stan Getz
My Little Brown Book;Duke Ellington
No Le Digas Que Hacer;Karina Vismara
Peas Pudding Hot;The Kids Band
Biscuits in the Oven;Raffi
Curse of the Spinach;Trout Fishing in America
Little Green Apple;Tumble Tots
Always Chew Your Food;Trout Fishing in America
String Quartet No. 4 in C Major, D. 46: II. Andante con moto;Franz Schubert
Trio Sonata in G Major, Wq. 144: I. Adagio;Carl Philipp Emanuel Bach
Bring Me the Night;Sam Tsui feat. Kina Grannis
Fast Car (feat. Kina Grannis);Kina Grannis
So Close;Jon McLaughlin
Simple Love Song;Anuhea
Almost Is Never Enough;Nathan Sykes
Perfect Harmony;Rags Cast
Best Friend;Jason Chen
Over And Over Again;Nathan Sykes
Force of Nature;Bea Miller
Photograph (feat. Bea Miller);Boyce Avenue
"I See the Light - From ""Tangled""/Soundtrack Version";Mandy Moore
I Can't Fall in Love Without You;Zara Larsson
Lost Boy;Ruth B.
Honest;Joseph
When Will I Learn;Kina Grannis
Lady Brain;The Harmaleighs
Don't Say;Lullanas
Coming Around Again;Carly Simon
Against All Odds (Take a Look at Me Now);Mariah Carey
There's No One Quite Like Grandma - 2003 Remastered Version;St. Winifred's School Choir
"My Heart Will Go On (Love Theme from ""Titanic"")";Céline Dion
Grandad;Clive Dunn
Every Loser Wins;Nick Berry
I'd Do Anything For Love (But I Won't Do That);Meat Loaf
